name,dataset,ClaSS,FLOSS,Window,ADWIN,DDM,HDDM,ChangeFinder,NEWMA
TSSB,GunPoint,2764.2636001769133,1485.583893893656,3879.658176250286,11199.378807788791,17737.205562387666,21157.752200406227,2138.3848636565804,12613.521695257317
TSSB,Haptics,1332.5824120922543,3459.1510106875267,3835.5197364550863,11384.2273741391,22806.949356756966,19670.812242298274,2312.293615579216,13718.614111376073
TSSB,InlineSkate,1988.664488664489,3058.4279642200086,3781.4137357638133,11980.914038619248,20638.72597285842,21162.37215223212,2283.081236207272,10714.52383598178
TSSB,InsectWingbeatSound,559.1766124381847,1067.9392943257385,3802.6202430112003,9933.260903305913,17592.08356239692,17396.031530307147,2090.341966881144,11932.506758646408
TSSB,ItalyPowerDemand,651.1966954197547,1312.5030608746754,3941.3696749840688,11490.638845219379,19396.86369119421,17697.556680607522,2106.94584572649,12423.703932627679
TSSB,LargeKitchenAppliances,1529.5743083734944,3949.678585307158,3385.558801810768,11320.450885668273,20472.2498604606,20606.77121500806,2412.436228866876,13795.359029288158
TSSB,Lightning2,3047.0843434987873,108.62435532718766,3935.139410717818,6535.303776683087,17194.70046082949,16902.60475651189,2099.2668389683,13049.180327868855
TSSB,Lightning7,3123.059729293431,577.3436541200299,3563.779055508625,11479.582879814612,21531.825216503672,16653.50821342162,2358.980649071415,16105.911330049257
TSSB,Mallat,2867.487118710209,2550.4891437092647,3732.691149909693,11273.688098417475,19766.862608349107,19220.1501574231,2188.0583188124488,13391.380648645001
TSSB,Meat,1238.5726924211149,2493.5064935064934,3308.2914053346203,11585.008447401993,21077.724107646944,20017.87310098302,2136.303812920823,15561.31900703964
TSSB,MedicalImages,2567.348802457349,222.67344947634834,3797.5655057024887,11486.141417893123,18898.479871667554,19368.981445236044,2116.628452140584,15292.372357522558
TSSB,MoteStrain,3856.3951886879076,1203.6194556487724,4348.276219070298,11033.758045448574,18203.489002058726,17885.659533695303,2136.4532332930626,14808.285588364915
TSSB,NonInvasiveFetalECGThorax1,2415.416659373742,848.1069188316611,3654.3599279720365,13993.735493611555,22007.22942802466,19861.51312107207,2500.538562049395,13954.11545289082
TSSB,NonInvasiveFetalECGThorax2,2298.2045429738346,429.7501526988474,4062.5026997917926,10865.747515982437,20420.659506094205,19393.464483578722,2520.119690947256,13944.408200383534
TSSB,OliveOil,1555.092455598018,3906.867862452943,3575.495551137789,11497.81991403789,22485.88942161801,16956.909769102265,2321.0431851854173,13799.91060786651
TSSB,OSULeaf,3456.470079930871,1674.3676847036854,3744.374437443745,11306.19122683046,19158.14681772128,18967.71840233449,2123.4890558640964,12961.116650049855
TSSB,Plane,3235.664209958655,343.48429377175745,3725.0187236390875,11517.01654428567,19445.444724522866,18926.497095934305,2155.8361564521097,13486.994683697867
TSSB,ProximalPhalanxOutlineAgeGroup,1221.306920535665,362.1554769678171,3642.2906365813465,11883.188259409997,21222.41086587436,18522.806205140078,2131.355435489199,13437.699465851447
TSSB,ProximalPhalanxTW,1253.5648249710111,2640.891564992341,3803.004373455031,10957.703265395568,19713.173328076482,19009.599847923197,2186.8917707262663,13387.776959635856
TSSB,ShapesAll,1855.9224224427421,565.3910032156615,3867.490119771335,11652.465224674092,22594.88084730803,19763.456134391497,2337.2250565133713,13781.22308354867
TSSB,SonyAIBORobotSurface1,3747.624273897797,1145.7847397841015,3937.5615243988195,12886.59793814433,17836.667091349216,17987.92239496338,2085.7853726851504,7400.750647565684
TSSB,SonyAIBORobotSurface2,3010.343230587145,146.07726363575074,2826.9518854399903,13366.336633663364,18690.095846645367,18798.200514138818,2137.7672209026127,9722.453049692538
TSSB,SwedishLeaf,2603.353492573384,378.5855584223978,3531.9515005924463,11534.28215525695,26671.56952871239,19445.933869526358,2184.9254203420974,13606.803401700854
TSSB,Symbols,3347.5101896154533,154.3271654209112,3965.3218019228357,13760.198135198134,21397.825101948343,17857.818113064848,2118.853194544149,12751.451329823143
TSSB,SyntheticControl,1272.2473655997885,335.9540737343042,3728.2642195997346,12028.097636077873,19760.763028929752,19808.779250964024,2099.6993230569383,15413.07028360049
TSSB,ToeSegmentation1,2860.1519907483894,2104.3195526991503,3738.2925315123216,11433.99653265087,19293.724315664833,18720.01081300263,2112.343099425015,13918.199175962212
TSSB,ToeSegmentation2,2695.785105918322,2713.062437360434,3912.6190204505992,12181.258387937156,21494.741241206375,20309.31227377426,2683.408258914985,14216.612152761787
TSSB,Trace,2305.1750863420875,3389.1528450625387,3535.8731924360395,11843.882446090072,21961.22457791787,21151.127006570736,2375.758481681996,14251.688289853451
TSSB,TwoLeadECG,3768.0,447.263714662843,4586.619924043238,16684.378320935175,24067.45017884517,20407.279029462734,2162.4351499012896,14156.898106402166
TSSB,UWaveGestureLibraryAll,2780.7729227208774,4954.142410363933,4056.6852100517926,11695.6557807704,20799.62625095281,20237.3262518242,2531.3993470252544,14040.99925305005
TSSB,UWaveGestureLibraryX,2756.5024307695317,2116.712110627878,3787.990805586547,15077.581594435525,21725.38740266749,18720.520826413336,2225.8380461912734,12346.652646337192
TSSB,UWaveGestureLibraryY,2698.0449227351933,2176.565999845524,3810.373735734762,12294.938917975565,21926.54839713663,22363.304499642883,2299.6384883426767,12292.793578782066
TSSB,UWaveGestureLibraryZ,2692.16806465789,2010.4159235214383,3815.01638101427,12272.984626105133,21181.599518941668,21338.785400575493,2207.5470220049665,14243.11346980036
TSSB,WordSynonyms,2457.0402667350604,1901.0803216358024,3857.8009729068012,15208.280416560832,20717.993079584772,20915.203912322064,2180.8016608694074,14071.680376028206
TSSB,Yoga,1149.159029106657,575.7962977314548,4223.601827565783,13990.19092660711,21214.374883795048,20102.184637068352,2569.935582683904,14362.008199669137
TSSB,Crop,2479.43387457658,422.5430600976666,4299.065420560746,12040.343876874394,21661.103146615318,20193.74286634083,2571.7128974507737,14691.47894221352
TSSB,EOGHorizontalSignal,4556.261655810008,3395.8261969381565,3819.395564907498,11884.726224783859,21830.270178707546,20428.786557818814,2222.8067300809785,13466.21039157807
TSSB,EOGVerticalSignal,3571.2216750963657,3953.4895193555226,4054.4369118688655,14665.031932219517,23107.753524984862,21184.80530809696,2496.386562998405,13575.457794792748
TSSB,FreezerRegularTrain,2235.7767868286087,1369.88961743593,4162.333207939634,11493.45689699068,22555.759852905903,19502.33281493001,2555.2841129070607,14017.960278719682
